1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
50392932,103655574,143398523,125291645,55208768,50392932,103655574,143398523,125291645,55208768,50349072,103516931,143526801,125248184,55289376,47240946,90053456,129234611,146774446,151120323,47288851,90076839,129301044,146815622,151187339,287543950,248613646,189155397,227063939,280930942,287543950,248613646,189155397,227063939,280930942,287553118,248627801,189161175,227075558,280942538,291815328,256758876,147820049,76281834,80704469,291820745,256761777,147818738,76281992,80703877,0
4562829,15258646,57178437,22998968,6222912,4562829,15258646,57178437,22998968,6222912,4575818,15238186,57193009,22997002,6219683,3758894,12718018,154749484,142380641,128913352,3747961,12713621,154900774,142470094,128861207,357309079,351654394,332829497,347415770,356564260,357309079,351654394,332829497,347415770,356564260,357310170,351654472,332829221,347415106,356565425,357671516,352976660,280081452,144556505,152935786,357671327,352975965,280081532,144556346,152936325,0
45930343,99411351,150583455,116226296,59860984,45930343,99411351,150583455,116226296,59860984,45921803,99282056,150542968,116150321,59887839,38002784,93204079,180186376,191685854,186570473,38025749,93168588,180132240,191728292,186480160,387462223,342854335,280913387,322898950,379970860,387462223,342854335,280913387,322898950,379970860,387461597,342855126,280912020,322900949,379971271,391367036,350570137,221866296,114479980,121116549,391366871,350570960,221865646,114480488,121116050,0
17862633,49213435,110369916,78800150,21491393,17862633,49213435,110369916,78800150,21491393,17846639,49130581,110617377,78777279,21504189,14907793,40701280,109765911,121929732,121533560,14902079,40670475,109736935,121869402,121478402,248131321,229253831,180202286,214965364,245242041,248131321,229253831,180202286,214965364,245242041,248132191,229263497,180209347,214976897,245243339,249799863,233454538,140746763,72624046,76834496,249799601,233457833,140747043,72624234,76834592,0
17294358,33765024,79344812,43258475,20228746,17294358,33765024,79344812,43258475,20228746,17317777,33878697,79347573,43351177,20331988,15075972,30521656,122132579,127375737,121891689,15131424,30521959,122154515,127281903,121735387,271501354,255740162,227281122,247891515,268635910,271501354,255740162,227281122,247891515,268635910,271507975,255746045,227282569,247895977,268642684,273223298,258582762,182264095,94044155,99497107,273224080,258580763,182263699,94044543,99497075,0
9116958,19519803,54872755,28977382,9711488,9116958,19519803,54872755,28977382,9711488,9139252,19556156,54944670,29059217,9656307,8748532,16737879,71224089,74012134,71464990,8759723,16705025,71163635,73976045,71596607,154032950,148208281,128725881,143556362,153185462,154032950,148208281,128725881,143556362,153185462,154033786,148212940,128728404,143560467,153187233,154587608,149612261,102727303,53022006,56095882,154587497,149613851,102729781,53022097,56094945,0
12568402,73169970,115128601,108473668,19883654,12568402,73169970,115128601,108473668,19883654,12568153,73153290,115169839,108614903,19924365,10960770,57753535,105023148,122510321,124098038,10984133,57796769,104989996,122461701,123953750,263545262,237912020,178780245,216981902,261199620,263545262,237912020,178780245,216981902,261199620,263545553,237915544,178780883,216982627,261200563,264500164,244605093,139519166,71991161,76164258,264500931,244605389,139518666,71991291,76164256,0
11700964,22567131,37682821,31396731,13424272,11700964,22567131,37682821,31396731,13424272,11703222,22565948,37745393,31375016,13422688,10863065,20113874,48901777,52107328,51808441,10859086,20167289,48946556,52163233,51685874,104235776,95016081,79509911,89806825,102477656,104235776,95016081,79509911,89806825,102477656,104235520,95018380,79514161,89813590,102478062,105339527,96742542,63156579,32587636,34476641,105339568,96741551,63157402,32587483,34476880,0
66729242,77647306,230636841,84512281,69782552,66729242,77647306,230636841,84512281,69782552,66664560,77908595,230591519,84441234,69818418,65273083,75520015,501581758,500287756,510078129,65187217,75574187,501215823,500063999,510100982,1054279598,1037387408,1000228483,1030555631,1050547764,1054279598,1037387408,1000228483,1030555631,1050547764,1054278818,1037386167,1000155625,1030553598,1050547424,1056826121,1039974801,795513992,410462846,434258779,1056825547,1039974463,795513177,410463199,434259072,0
22842961,38106766,103304445,57890563,24727414,22842961,38106766,103304445,57890563,24727414,22842424,38080495,103379394,57811614,24730590,21964202,32544243,125866998,134038245,130691764,21912562,32645723,125853727,133988837,130811032,273899135,258798400,222567845,249132469,271084104,273899135,258798400,222567845,249132469,271084104,273892986,258795059,222567368,249131288,271078786,275790262,261827231,176327460,90980927,96254652,275790856,261828423,176328595,90979961,96254392,0
39791707,50139604,62453492,54570472,42772696,39791707,50139604,62453492,54570472,42772696,39719919,50138450,62453997,54818187,42803295,37555299,48575550,113104080,89162566,90315904,37567539,48533245,113128201,89029298,90224522,237126665,213194198,192145268,205392854,231713986,237126665,213194198,192145268,205392854,231713986,237130385,213196552,192146085,205394527,231717957,240708629,216576918,168603378,87038940,92084114,240708347,216578019,168603687,87039230,92083814,0
